# GitHub Actions run 35948987435 (workflow CI, push) — branch feature/p2-directory,
# commit cbfd640a87d7d8ad863c8cb52931340e804166fe. Created 2026-09-24T02:51:10Z, completed 2026-09-24T02:55:21Z.
# Conclusion: success. Jobs: "Non-DB checks (cold install)" success (02:51:13Z–02:53:42Z);
# "Database, seed and smoke (MySQL 8.4.11)" success (02:51:13Z–02:55:20Z). Verified with `gh run view`.
# Evidence lines extracted from `gh run view --log`: step command echoes, environment blocks, ANSI
# codes and timestamps removed; format "job | step | output line". Synthetic CI data only.

non-db | Toolchain | node v24.21.0, yarn 4.18.0, git version 2.55.0
non-db | Cold-install evidence (Yarn cache before install) | cache folder /home/runner/.yarn/berry/cache: absent (cold)
non-db | yarn install --immutable | ➤ YN0000: · Done with warnings in 16s 973ms
non-db | Run yarn reference:check | [reference:check] OK — frozen references intact.
non-db | Run yarn reference:helper-tests | # tests 27
non-db | Run yarn reference:helper-tests | # pass 27
non-db | Run yarn reference:helper-tests | # fail 0
non-db | Run yarn contracts:check | [contracts:check] OK — 3 generated outputs match the active source.
non-db | Run yarn lint | Found 0 warnings and 0 errors.
non-db | Run yarn format:check | All matched files use Prettier code style!
non-db | Run yarn test | Test Files  26 passed (26)
non-db | Run yarn test | Tests  1035 passed (1035)
non-db | Run yarn build | ✓ built in 187ms
non-db | Frozen references and working tree unchanged by the run | [reference:check] OK — frozen references intact.
db | Toolchain | node v24.21.0, yarn 4.18.0, Docker version 28.0.4, build b8034c0, Docker Compose version v2.38.2
db | yarn install --immutable | ➤ YN0000: · Done with warnings in 11s 788ms
db | Migrate tb_notice_test (committed migration) and verify metadata | [verify] tables 33/33 (InnoDB 33, utf8mb4_0900_bin 33); columns 541/541 (character columns with binary collation 391)
db | Migrate tb_notice_test (committed migration) and verify metadata | [verify] foreign keys 125/125 RESTRICT/RESTRICT (composite 27); CHECK constraints 30/30 semantically matching and ENFORCED=YES
db | Migrate tb_notice_test (committed migration) and verify metadata | [verify] applied migrations: 20260923103912_initial_schema b54c36fdaada7bdd31e08558a93d70e9e40fd4c48348681c9c2a124503426515
db | Migrate tb_notice_test (committed migration) and verify metadata | [verify] domain rows total: 0
db | Migrate tb_notice_test (committed migration) and verify metadata | [verify] PASS: metadata matches the reviewed inventory.
db | Database structural tests (tb_notice_test) | Test Files  5 passed (5)
db | Database structural tests (tb_notice_test) | Tests  138 passed (138)
db | Replay into tb_notice_replay; second deploy must be a no-op | No pending migrations to apply.
db | Replay into tb_notice_replay; second deploy must be a no-op | [verify] tables 33/33 (InnoDB 33, utf8mb4_0900_bin 33); columns 541/541 (character columns with binary collation 391)
db | Replay into tb_notice_replay; second deploy must be a no-op | [verify] foreign keys 125/125 RESTRICT/RESTRICT (composite 27); CHECK constraints 30/30 semantically matching and ENFORCED=YES
db | Replay into tb_notice_replay; second deploy must be a no-op | [verify] applied migrations: 20260923103912_initial_schema b54c36fdaada7bdd31e08558a93d70e9e40fd4c48348681c9c2a124503426515
db | Replay into tb_notice_replay; second deploy must be a no-op | [verify] domain rows total: 0
db | Replay into tb_notice_replay; second deploy must be a no-op | [verify] PASS: metadata matches the reviewed inventory.
