P1 negative controls — 2026-09-23T15:49:10Z — feature/p1-auth-shell @ b9eea37 + uncommitted P1 changes (first PC)
Method: back up the file, apply one mutation that disables a protection, run the responsible suite
(tests/db/auth-http.test.ts on tb_notice_test unless noted), restore the file and compare SHA-256.
DETECTED = the suite failed. Mutations were never committed.

NC1-origin-not-required: suite exit=1 → DETECTED (Tests  2 failed | 35 passed (37)); restored=yes
NC2-csrf-not-checked: suite exit=1 → DETECTED (Tests  2 failed | 35 passed (37)); restored=yes
NC3-distinct-unknown-user-error: suite exit=1 → DETECTED (Tests  3 failed | 34 passed (37)); restored=yes
NC4-raw-token-stored: suite exit=1 → DETECTED (Tests  15 failed | 22 passed (37)); restored=yes
NC5-epoch-binding-skipped: suite exit=1 → DETECTED (Tests  1 failed | 36 passed (37)); restored=yes
NC6-cookie-not-httponly: suite exit=1 → DETECTED (Tests  3 failed | 34 passed (37)); restored=yes
NC7-logout-not-revoking: suite exit=1 → DETECTED (Tests  1 failed | 36 passed (37)); restored=yes
NC8-throttle-disabled: suite exit=1 → DETECTED (Tests  3 failed | 34 passed (37)); restored=yes
NC9-idle-timeout-ignored: suite exit=1 → DETECTED (Tests  2 failed | 35 passed (37)); restored=yes
NC10-requested-with-ignored: suite exit=1 → DETECTED (Tests  1 failed | 36 passed (37)); restored=yes
NC11-dummy-argon2-work-skipped: suite exit=1 → DETECTED (Tests  1 failed | 1 passed (2)); restored=yes
NC12-activity-without-app-header: suite exit=1 → DETECTED (Tests  1 failed | 36 passed (37)); restored=yes
NC13-undeclared-413-on-login: suite exit=1 → DETECTED (Tests  2 failed | 35 passed (37)); restored=yes

NC11 ran tests/api/password-hasher-work.test.ts (unit). After the runs: no *.nc-bak files, db:verify test --expect-empty → domain rows total: 0.
Source tree under test: identical to commit 6255039 (the last P1 code commit); only documentation changed afterwards.
